date,posting_date,description,location,amount,merchant,is_transfer
2024-07-05,2024-07-07,22028 MACS CONV.,"Store Calgary, Alberta, Canada",-4.59,22028,False
2024-07-06,2024-07-07,SQ *,"Cowboys Stampede T Calgary, Alberta, Canada",-13.86,SQ *,False
2024-07-04,2024-07-07,CHECKER CAB CALGARY AB,"Checker Cab Calgary, Alberta, Canada",-25.74,CHECKER,False
2024-07-06,2024-07-07,UBER CANADA/,"Ubertrip Toronto, Ontario, Canada",-7.9,UBER,False
2024-07-07,2024-07-08,TIM HORTONS #1757 403-246-7793 AB,,-14.25,TIM,False
2024-07-08,2024-07-09,SQ *,"Grace Meat Market Toronto, Ontario, Canada",-17.56,SQ *,False
2024-07-08,2024-07-09,MAD RADISH EXCHANGE TORONTO ON,"Mad Radish Exchange Toronto, Ontario, Canada",-18.59,MAD,False
2024-07-08,2024-07-09,SIMPLE BURGER TORONTO ON,"Simple Burger Toronto, Ontario, Canada",-12.35,SIMPLE,False
2024-07-07,2024-07-09,THAI THIEN SUB CALGARY AB,"Thai Thien Sub Calgary, Alberta, Canada",-11.76,THAI,False
2024-07-08,2024-07-09,METRO 442,"Toronto, Ontario, Canada",-51.35,METRO,False
2024-07-08,2024-07-09,STARBUCKS COFFEE #7178,"Toronto, Ontario, Canada",-21.02,STARBUCKS,False
2024-07-09,2024-07-10,LS Dineen Coffee Co Toronto ON,"Ls Dineen Coffee Co Toronto, Ontario, Canada",-12.43,LS,False
2024-07-08,2024-07-10,PRESTO FARE/,"Phshtmhrpc Toronto, Ontario, Canada",-5.02,PRESTO,False
2024-07-08,2024-07-10,PRESTO FARE/,"Phsljjmhfj Toronto, Ontario, Canada",-3.3,PRESTO,False
2024-07-08,2024-07-10,SHOPPERS DRUG MART 813,"Toronto, Ontario, Canada",-19.15,SHOPPERS,False
2024-07-10,2024-07-10,AMAZON* NL5XM36C0,"Vancouver, British Columbia, Canada",-25.86,AMAZON*,False
2024-07-09,2024-07-11,MECP-ONTPARK-INT-,"Reser Orillia, Ontario, Canada",-8.5,MECP-ONTPARK-INT-,False
